Vdaq_rtd,Vdaq_ntc,Vdaq_par,ADC_rtd,ADC_ntc,ADC_par
-5.121951219512195,7.955407809793467,-4.998339525100158,15984.390243902439,58836.28031113123,16389.441044151805
-5.129056314703513,7.967339154248005,-4.998358535726137,15961.108267979527,58875.376940639864,16389.378750132593
-5.124966571274335,7.949646929365418,-4.998393994875504,15974.509539248258,58817.4030581446,16389.26255759195
-5.1236209552394065,7.960576607159961,-4.998334249551122,15978.918853871513,58853.21742634176,16389.458331070884
-5.121961590071645,7.960314901946441,-4.998236600464216,15984.356261653234,58852.35987069809,16389.77830759886
-5.122416549717748,7.951528078817425,-4.99821531114199,15982.865449884883,58823.56720866894,16389.84806844993
-5.1221302209918536,7.9559110926987735,-4.99829640252039,15983.803691853895,58837.92946855534,16389.582348221185
-5.115985894343097,7.92329121675551,-4.998244298280915,16003.93742141654,58731.04065906445,16389.753083393098
-5.119999379462853,7.942894926870942,-4.998048286824403,15990.786033376124,58795.278096370705,16390.395373733794
-5.1250705839977435,7.955620695008109,-4.998206128920485,15974.168710356194,58836.97789340257,16389.878156753355
-5.122246713754434,7.934543284607495,-4.998043031777729,15983.421968369472,58767.911435001835,16390.412593470737
-5.123105933380058,7.950600592443573,-4.998089387144976,15980.606477500225,58820.52802131909,16390.260696203342
-5.122858815486201,7.924427646032456,-4.997986180342382,15981.416233414817,58734.76451051915,16390.598884254083
-5.120199157883452,7.932518766616111,-4.998179762901427,15990.131399447506,58761.27749444768,16389.964552924605
-5.1155957115769395,7.953605667490283,-4.998071282598671,16005.215972304684,58830.37505123216,16390.320021180676
-5.1158764397241,7.927766116649776,-4.997986473625306,16004.29608231207,58745.70401103799,16390.597923224595
-5.10182723457253,7.939591492328324,-4.99775750731676,16050.332517752733,58784.45340206146,16391.34820002444
-5.10952212966254,7.9436572381473045,-4.997909903207966,16025.117885521788,58797.776037961085,16390.848829168135
-5.103013720279453,7.942628452534928,-4.997738555656074,16046.444641388289,58794.404913266444,16391.410300826177
-5.104314411485492,7.9396454008883826,-4.997825974031293,16042.18253644434,58784.63004963104,16391.12384829426
-5.1017749840423905,7.948792053541908,-4.997883653192515,16050.503732289895,58814.60180104613,16390.934845218766
-5.097890441777511,7.909824375538461,-4.997824225606418,16063.232600383451,58686.91251376444,16391.12957753289
-5.098449640720454,7.906358083337045,-4.997732770983213,16061.400217287217,58675.55416747883,16391.429256042207
-5.091466504157349,7.9412106226896455,-4.997708377101076,16084.282559177198,58789.75896842943,16391.509189915196
-5.083499751678716,7.955215819752613,-4.997740816250013,16110.388013699183,58835.65119816536,16391.40289331196
-5.0831516071036535,7.926657070412455,-4.997712580844003,16111.528813842748,58742.069888327525,16391.495415090372
-5.080167862775174,7.941151813814987,-4.997631457519663,16121.305947258308,58789.56626350895,16391.761239999567
-5.085571578242574,7.946144069919452,-4.997590317784869,16103.599052414735,58805.92488831206,16391.89604668254
-5.079273010269102,7.92466051328382,-4.997717712711978,16124.238199950207,58735.52756992842,16391.47859898539
-5.0681452639843165,7.932536702528488,-4.9974610070140635,16160.701598976191,58761.33626684535,16392.319772216317
-5.066115872857716,7.935838314275848,-4.997559793142136,16167.351507819836,58772.1549882191,16391.99606983185
-5.0631715785231695,7.939731135048488,-4.997482975346127,16176.999371495278,58784.91098332689,16392.24778638581
-5.062059156516391,7.946360260223477,-4.9976864595943065,16180.64455592709,58806.6333007003,16391.581009201378
-5.060349276096227,7.926484071039292,-4.997601355831004,16186.247492087883,58741.50300398155,16391.859877212966
-5.061517462606629,7.863065933599778,-4.9977264163814175,16182.419578530598,58533.69445121975,16391.450078801372
-5.062843028519165,7.948072286924576,-4.997611987069165,16178.0759641484,58812.24326979446,16391.82504077176
-5.073993746365738,7.9254731176352,-4.997762103938883,16141.53729190875,58738.19031186702,16391.333137813068
-5.06892007003659,7.942225730407975,-4.997578152118874,16158.162714504102,58793.08527340086,16391.935911136876
-5.0576279322978674,7.8730766862357715,-4.997676474816981,16195.164791446348,58566.49768545737,16391.613727319716
-5.0626852348952225,7.928445801610147,-4.99758631355678,16178.593022295336,58747.93120271612,16391.909167737143
-5.056770054522007,7.908112313396039,-4.997485873296846,16197.975885342288,58681.30242853614,16392.238290380898
-5.059112480387719,7.939896853302516,-4.997644483414603,16190.300224265524,58785.45400890168,16391.71855674703
-5.050234695201117,7.908964783138819,-4.997495573941607,16219.39095076498,58684.09580138929,16392.20650330814
-5.04713747450879,7.883660219829244,-4.997576752067648,16229.539923529597,58601.17780833647,16391.940498824733
-5.041110844936501,7.870997375349614,-4.997380992583019,16249.287983312073,58559.68419954561,16392.581963503962
-5.035591868216867,7.929175431796667,-4.997636041197913,16267.372566226968,58750.32205491131,16391.74622020268
-5.031738127821634,7.89107543636484,-4.997362524557132,16280.00050275407,58625.47598988031,16392.64247953119
-5.027183703399381,7.934888642861193,-4.997560384616277,16294.924440700906,58769.04310492756,16391.994131689386
-5.029733927621802,7.882781198304803,-4.997407634098534,16286.56786596888,58598.297430605184,16392.494664585924
-5.025344194568481,7.908268725218699,-4.9974893778445075,16300.952143238002,58681.814958796625,16392.22680667912
-5.019159494010007,7.865756885703034,-4.997386191757129,16321.218170028009,58542.512163071704,16392.56492685024
-5.009965666441535,7.885232047376819,-4.997164254963896,16351.344504204379,58606.32837284436,16393.292169334305
-5.001251801478145,7.89340943596037,-4.997127976197868,16379.898096916415,58633.12403975495,16393.411047594826
-4.992467053432252,7.927537188182615,-4.997209960409771,16408.683959313195,58744.9538582368,16393.142401729263
-4.987801707516324,7.845353352140114,-4.9972496499400085,16423.97136481051,58475.65386429273,16393.01234707658
-4.99167718585131,7.901185095722576,-4.997032962790237,16411.272197402428,58658.60332166373,16393.722387528953
-4.985390110170188,7.921495803454601,-4.99717068723996,16431.873686994328,58725.15744876004,16393.2710920521
-4.984387354423308,7.909997973521918,-4.997130764020484,16435.159517025702,58687.48135963662,16393.40191245768
-4.989379688620863,7.851260047467122,-4.997103717239832,16418.800636327156,58495.00892354026,16393.490539348517
-4.992547643298254,7.9065123869250336,-4.997170994484389,16408.41988244028,58676.05978947595,16393.270085273554
-4.99468255750985,7.861045584929592,-4.997037426985532,16401.424195551725,58527.074172697285,16393.707759253808
-4.987356564942525,7.862872734257278,-4.997011107049121,16425.430007996336,58533.061375614256,16393.79400442144
-4.978168469495044,7.895899059937568,-4.996969930557028,16455.53755915864,58641.28203960343,16393.92893155073
-4.977560580121198,7.872599038994872,-4.996819903319987,16457.52949105886,58564.93253097839,16394.420540801068
-4.9811976442320605,7.866109900693459,-4.996875473114927,16445.611559380384,58543.668922592326,16394.238449697008
-4.987198403842866,7.870549739188636,-4.996817153826507,16425.948270287696,58558.217385373326,16394.4295503413
-4.983177257002841,7.8604231293173665,-4.996796210218222,16439.12476425309,58525.034510147154,16394.49817835693
-4.9775006326321645,7.874464221383201,-4.996935864765892,16457.725926990923,58571.04436062847,16394.040558335124
-4.966011679931217,7.883903750247006,-4.996915293655095,16495.372927201388,58601.975808809395,16394.107965750984
-4.95047294509411,7.847946290722492,-4.996880652154734,16546.29025351562,58484.15040543945,16394.22147901937
-4.95153086229144,7.87485612949361,-4.996680785579753,16542.82367044341,58572.328565124655,16394.876401812267
-4.946789061413269,7.89145235319547,-4.996926537505794,16558.361603561,58626.711070950914,16394.071121901015
-4.948209951340195,7.772770233817996,-4.996854790531536,16553.705631448447,58237.8135021748,16394.30622238626
-4.950846223678299,7.898933372205699,-4.99678106867603,16545.06709425095,58651.224874043626,16394.547794162387
-4.947128344885302,7.858543262399998,-4.996581891118892,16557.249839479842,58518.87456223231,16395.200459181615
-4.94981121561545,7.883286401493132,-4.996688681669916,16548.45860867129,58599.95288041269,16394.85052790402
-4.940375551272094,7.853795907423866,-4.996562689582228,16579.377393591603,58503.318429446525,16395.263378776956
-4.944078833001756,7.739819138110791,-4.996662756320689,16567.242480019846,58129.83935176143,16394.935480088367
-4.9402305355845,7.854087729510974,-4.996475477628251,16579.85258099671,58504.274672061554,16395.54915490775
-4.937848077334342,7.857853742473452,-4.996806236848955,16587.659420190826,58516.61514333701,16394.465323093344
-4.93402726592929,7.858786344516474,-4.996482544383257,16600.179455002904,58519.671093711586,16395.525998564943
-4.932927988802913,7.881682100684971,-4.996479663723992,16603.781566290614,58594.69590752451,16395.535437909224
-4.925926678865328,7.840122337208008,-4.996541935914684,16626.723458694094,58458.5128745632,16395.33138439476
-4.9187191021921866,7.867546147195975,-4.996446070242467,16650.341245936645,58548.37521513177,16395.645517029487
-4.922265893249273,7.860031244884597,-4.99654331301972,16638.71912100078,58523.75038323784,16395.32687189698
-4.923456773433817,7.816104633966519,-4.99646933309612,16634.816844812067,58379.81166458149,16395.569289310635
-4.922889709790351,7.842815166717147,-4.996493966033435,16636.67499895898,58467.33673829874,16395.48857210164
-4.921886529176391,7.813710355574521,-4.99638253984113,16639.9622211948,58371.96609314659,16395.853693448586
-4.914373102441555,7.816477770847342,-4.996403490455234,16664.582217919513,58381.034359512574,16395.78504247629
-4.912119378456352,7.866766226909428,-4.996251226714092,16671.967220674225,58545.81957233681,16396.283980303262
-4.9022906010190495,7.7741348672599155,-4.996395342247914,16704.17415858078,58242.285133037294,16395.811742522033
